index	prediction
0	not_entailment
1	entailment
2	not_entailment
3	not_entailment
4	entailment
5	entailment
6	entailment
7	not_entailment
8	not_entailment
9	entailment
10	not_entailment
11	entailment
12	entailment
13	not_entailment
14	not_entailment
15	not_entailment
16	not_entailment
17	entailment
18	not_entailment
19	not_entailment
20	entailment
21	not_entailment
22	not_entailment
23	not_entailment
24	not_entailment
25	not_entailment
26	not_entailment
27	entailment
28	entailment
29	entailment
30	not_entailment
31	entailment
32	not_entailment
33	not_entailment
34	not_entailment
35	entailment
36	not_entailment
37	entailment
38	entailment
39	entailment
40	entailment
41	not_entailment
42	entailment
43	entailment
44	entailment
45	entailment
46	entailment
47	not_entailment
48	not_entailment
49	not_entailment
50	entailment
51	entailment
52	not_entailment
53	not_entailment
54	entailment
55	not_entailment
56	entailment
57	entailment
58	not_entailment
59	entailment
60	entailment
61	entailment
62	not_entailment
63	entailment
64	entailment
65	not_entailment
66	entailment
67	not_entailment
68	not_entailment
69	entailment
70	entailment
71	entailment
72	entailment
73	entailment
74	entailment
75	not_entailment
76	not_entailment
77	entailment
78	entailment
79	not_entailment
80	entailment
81	entailment
82	not_entailment
83	not_entailment
84	not_entailment
85	not_entailment
86	entailment
87	not_entailment
88	not_entailment
89	entailment
90	not_entailment
91	not_entailment
92	not_entailment
93	entailment
94	entailment
95	not_entailment
96	not_entailment
97	entailment
98	not_entailment
99	not_entailment
100	entailment
101	not_entailment
102	not_entailment
103	entailment
104	entailment
105	not_entailment
106	entailment
107	not_entailment
108	not_entailment
109	not_entailment
110	entailment
111	not_entailment
112	not_entailment
113	not_entailment
114	entailment
115	not_entailment
116	entailment
117	not_entailment
118	not_entailment
119	not_entailment
120	not_entailment
121	not_entailment
122	not_entailment
123	not_entailment
124	not_entailment
125	entailment
126	not_entailment
127	entailment
128	entailment
129	entailment
130	entailment
131	entailment
132	not_entailment
133	not_entailment
134	entailment
135	not_entailment
136	not_entailment
137	not_entailment
138	entailment
139	not_entailment
140	entailment
141	not_entailment
142	entailment
143	entailment
144	not_entailment
145	not_entailment
146	not_entailment
147	not_entailment
148	not_entailment
149	entailment
150	entailment
151	entailment
152	not_entailment
153	entailment
154	entailment
155	not_entailment
156	not_entailment
157	not_entailment
158	not_entailment
159	not_entailment
160	entailment
161	not_entailment
162	entailment
163	not_entailment
164	not_entailment
165	entailment
166	entailment
167	not_entailment
168	entailment
169	entailment
170	entailment
171	entailment
172	not_entailment
173	entailment
174	entailment
175	not_entailment
176	not_entailment
177	entailment
178	entailment
179	entailment
180	not_entailment
181	entailment
182	entailment
183	not_entailment
184	entailment
185	not_entailment
186	entailment
187	entailment
188	not_entailment
189	not_entailment
190	entailment
191	entailment
192	entailment
193	not_entailment
194	entailment
195	entailment
196	entailment
197	not_entailment
198	entailment
199	entailment
200	entailment
201	entailment
202	entailment
203	not_entailment
204	not_entailment
205	entailment
206	not_entailment
207	not_entailment
208	not_entailment
209	entailment
210	not_entailment
211	not_entailment
212	entailment
213	not_entailment
214	entailment
215	entailment
216	not_entailment
217	not_entailment
218	entailment
219	not_entailment
220	entailment
221	entailment
222	entailment
223	not_entailment
224	entailment
225	not_entailment
226	entailment
227	entailment
228	entailment
229	not_entailment
230	entailment
231	entailment
232	not_entailment
233	not_entailment
234	entailment
235	not_entailment
236	not_entailment
237	entailment
238	not_entailment
239	entailment
240	entailment
241	not_entailment
242	entailment
243	entailment
244	not_entailment
245	not_entailment
246	entailment
247	not_entailment
248	entailment
249	entailment
250	not_entailment
251	not_entailment
252	not_entailment
253	entailment
254	not_entailment
255	entailment
256	not_entailment
257	not_entailment
258	entailment
259	entailment
260	not_entailment
261	not_entailment
262	entailment
263	not_entailment
264	entailment
265	entailment
266	not_entailment
267	not_entailment
268	entailment
269	not_entailment
270	entailment
271	entailment
272	not_entailment
273	entailment
274	entailment
275	not_entailment
276	not_entailment
277	entailment
278	not_entailment
279	not_entailment
280	not_entailment
281	entailment
282	entailment
283	entailment
284	not_entailment
285	not_entailment
286	entailment
287	not_entailment
288	entailment
289	entailment
290	not_entailment
291	entailment
292	not_entailment
293	entailment
294	entailment
295	not_entailment
296	not_entailment
297	not_entailment
298	entailment
299	entailment
300	not_entailment
